,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,City,City_name,Delivery_person_Age,Delivery_person_Ratings,Multiple_deliveries,Time_taken_min,Distance,Speed,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude
448,1900-01-01 22:40:00,Fog,Low,motorcycle,Urban,Chennai,39.0,4.6,0.7592242194891201,25.0,5.58,13.39,13.026279,80.174568,13.076279,80.224568
449,1900-01-01 19:55:00,Fog,Jam,motorcycle,Metropolitian,Chennai,22.0,4.6,0.0,47.0,10.06,12.84,13.026279,80.174568,13.116279,80.264568
450,1900-01-01 20:20:00,Cloudy,Jam,motorcycle,Metropolitian,Chennai,37.0,5.0,1.0,25.0,6.7,16.08,13.026279,80.174568,13.086279,80.234568
451,1900-01-01 22:00:00,Fog,Jam,motorcycle,Metropolitian,Chennai,37.0,4.4,1.0,47.0,12.51,15.97,13.026286,80.275235,13.136286,80.385235
453,1900-01-01 16:50:00,Windy,Medium,motorcycle,Urban,Chennai,31.0,4.6,1.0,26.0,4.52,10.43,13.026286,80.275235,13.066286,80.315235
454,1900-01-01 12:30:00,Cloudy,High,motorcycle,Metropolitian,Chennai,22.0,4.7,0.0,21.0,4.52,12.91,13.026286,80.275235,13.066286,80.315235
455,1900-01-01 20:50:00,Stormy,Jam,motorcycle,Metropolitian,Chennai,37.0,4.3,1.0,46.0,6.79,8.86,13.026286,80.275235,13.086286,80.335235
456,1900-01-01 19:00:00,Stormy,Medium,scooter,Metropolitian,Chennai,26.0,5.0,0.0,26.0,6.79,15.67,13.026286,80.275235,13.086286,80.335235
457,1900-01-01 00:05:00,Windy,Low,scooter,Metropolitian,Chennai,24.0,4.7,1.0,17.0,3.39,11.96,13.026286,80.275235,13.056286,80.305235
458,1900-01-01 23:00:00,Stormy,Low,scooter,Metropolitian,Chennai,35.0,5.0,1.0,21.0,3.39,9.69,13.026286,80.275235,13.056286,80.305235
459,1900-01-01 17:15:00,Fog,Medium,motorcycle,Metropolitian,Chennai,33.0,4.6,1.0,38.0,7.88,12.44,13.049645,80.242268,13.119645,80.312268
460,1900-01-01 22:45:00,Windy,Low,electric_scooter,Urban,Chennai,33.0,4.9,1.0,28.0,7.88,16.89,13.049645,80.242268,13.119645,80.312268
461,1900-01-01 19:55:00,Fog,Jam,scooter,Metropolitian,Chennai,28.0,4.1,1.0,44.0,9.02,12.3,13.049645,80.242268,13.129645,80.322268
462,1900-01-01 00:10:00,Cloudy,Low,electric_scooter,Metropolitian,Chennai,23.0,4.7,0.0,22.0,9.02,24.6,13.049645,80.242268,13.129645,80.322268
463,1900-01-01 21:45:00,Fog,Jam,motorcycle,Urban,Chennai,20.0,4.9,0.0,21.0,5.62,16.06,13.049645,80.242268,13.099645,80.292268
464,1900-01-01 00:00:00,Fog,Low,motorcycle,Metropolitian,Chennai,30.0,4.6,0.0,19.0,3.37,10.64,13.049645,80.242268,13.079645,80.272268
465,1900-01-01 22:15:00,Stormy,Low,motorcycle,Urban,Chennai,27.0,4.3,1.0,24.0,3.37,8.42,13.049645,80.242268,13.079645,80.272268
466,1900-01-01 18:00:00,Fog,Medium,motorcycle,Metropolitian,Chennai,29.0,4.9,1.0,14.0,3.37,14.44,13.049645,80.242268,13.079645,80.272268
467,1900-01-01 21:25:00,Sunny,Jam,scooter,Metropolitian,Chennai,39.0,4.7,0.0,18.0,10.15,33.83,13.049645,80.242268,13.139645,80.332268
468,1900-01-01 17:50:00,Sandstorms,Medium,scooter,Metropolitian,Chennai,23.0,4.5,1.0,17.0,7.87,27.78,13.045479,80.23311,13.115479,80.30311
469,1900-01-01 22:25:00,Sunny,Low,scooter,Metropolitian,Chennai,28.0,3.3,0.0,42.0,7.87,11.24,13.045479,80.23311,13.115479,80.30311
470,1900-01-01 09:05:00,Sunny,Low,scooter,Metropolitian,Chennai,28.0,4.7,1.0,17.0,1.12,3.95,13.045479,80.23311,13.055479,80.24311
471,1900-01-01 23:00:00,Sandstorms,Low,scooter,Metropolitian,Chennai,20.0,4.6,0.7592242194891201,12.0,12.41,62.05,13.045479,80.23311,13.155479,80.34311
472,1900-01-01 21:05:00,Stormy,Jam,motorcycle,Metropolitian,Chennai,27.0,4.6,1.0,14.0,5.62,24.09,13.045479,80.23311,13.095479,80.28311
473,1900-01-01 18:05:00,Stormy,Medium,motorcycle,Metropolitian,Chennai,33.0,4.5,1.0,27.0,5.62,12.49,13.045479,80.23311,13.095479,80.28311
474,1900-01-01 23:35:00,Fog,Low,motorcycle,Metropolitian,Chennai,30.0,4.8,1.0,28.0,3.36,7.2,13.045479,80.23311,13.075479,80.26311
475,1900-01-01 22:50:00,Cloudy,Low,motorcycle,Metropolitian,Chennai,25.0,4.8,1.0,21.0,6.74,19.26,13.045479,80.23311,13.105479,80.29311
476,1900-01-01 18:45:00,Stormy,Medium,scooter,Metropolitian,Chennai,33.0,4.9,1.0,29.0,3.36,6.95,13.045479,80.23311,13.075479,80.26311
477,1900-01-01 22:45:00,Stormy,Low,motorcycle,Metropolitian,Chennai,23.0,4.7,0.0,19.0,10.14,32.02,13.045479,80.23311,13.135479,80.32311
478,1900-01-01 15:55:00,Cloudy,Medium,motorcycle,Metropolitian,Chennai,27.0,4.6,1.0,22.0,4.49,12.25,12.981615,80.231598,13.021615,80.271598
479,1900-01-01 19:00:00,Cloudy,Medium,scooter,Urban,Chennai,20.0,4.5,1.0,28.0,7.87,16.86,12.981615,80.231598,13.051615,80.301598
480,1900-01-01 10:00:00,Stormy,Low,scooter,Metropolitian,Chennai,26.0,4.7,0.0,15.0,1.12,4.48,12.981615,80.231598,12.991615,80.241598
482,1900-01-01 20:25:00,Sunny,Jam,scooter,Metropolitian,Chennai,31.0,4.6,0.0,18.0,12.41,41.37,12.981615,80.231598,13.091615,80.341598
483,1900-01-01 17:05:00,Sandstorms,Medium,motorcycle,Urban,Chennai,34.0,4.9,0.0,26.0,4.49,10.36,12.981615,80.231598,13.021615,80.271598
484,1900-01-01 08:50:00,Sandstorms,Low,scooter,Metropolitian,Chennai,35.0,4.9,1.0,29.0,2.24,4.63,12.981615,80.231598,13.001615,80.251598
485,1900-01-01 21:15:00,Stormy,Jam,scooter,Metropolitian,Chennai,26.0,5.0,1.0,23.0,5.61,14.63,12.981615,80.231598,13.031615,80.281598
486,1900-01-01 21:00:00,Stormy,Jam,motorcycle,Metropolitian,Chennai,29.0,4.6,1.0,16.0,14.69,55.09,12.981615,80.231598,13.111615,80.361598
487,1900-01-01 21:50:00,Windy,Jam,scooter,Metropolitian,Chennai,21.0,4.6,1.0,25.0,10.14,24.34,12.981615,80.231598,13.071615,80.321598
488,1900-01-01 20:50:00,Windy,Jam,motorcycle,Metropolitian,Chennai,22.0,5.0,1.0,35.0,6.74,11.55,12.981615,80.231598,13.041615,80.291598
489,1900-01-01 20:25:00,Cloudy,Jam,motorcycle,Metropolitian,Chennai,22.0,4.9,0.0,26.0,6.74,15.55,12.981615,80.231598,13.041615,80.291598
490,1900-01-01 13:35:00,Stormy,High,scooter,Urban,Chennai,35.0,4.7,1.0,28.0,4.48,9.6,12.986047,80.218114,13.026047,80.258114
491,1900-01-01 20:20:00,Stormy,Jam,scooter,Urban,Chennai,22.0,4.7,0.0,15.0,12.38,49.52,12.986047,80.218114,13.096047,80.328114
492,1900-01-01 10:35:00,Sunny,Low,motorcycle,Metropolitian,Chennai,39.0,4.5,1.0,26.0,1.12,2.58,12.986047,80.218114,12.996047,80.228114
493,1900-01-01 13:40:00,Windy,High,motorcycle,Metropolitian,Chennai,27.0,4.0,1.0,33.0,4.48,8.15,12.986047,80.218114,13.026047,80.258114
494,1900-01-01 09:50:00,Windy,Low,scooter,Metropolitian,Chennai,31.0,4.7,1.0,29.0,1.12,2.32,12.986047,80.218114,12.996047,80.228114
495,1900-01-01 08:30:00,Sandstorms,Low,scooter,Urban,Chennai,27.0,4.7,0.0,11.0,2.24,12.22,12.986047,80.218114,13.006047,80.238114
496,1900-01-01 17:55:00,Stormy,Medium,motorcycle,Metropolitian,Chennai,33.0,4.5,1.0,26.0,14.66,33.83,12.986047,80.218114,13.116047,80.348114
497,1900-01-01 23:10:00,Stormy,Low,motorcycle,Urban,Chennai,28.0,4.9,0.0,10.0,14.66,87.96,12.986047,80.218114,13.116047,80.348114
498,1900-01-01 18:10:00,Cloudy,Medium,electric_scooter,Metropolitian,Chennai,21.0,4.2,1.0,35.0,14.66,25.13,12.986047,80.218114,13.116047,80.348114
500,1900-01-01 22:00:00,Sandstorms,Jam,scooter,Metropolitian,Chennai,24.0,4.7,1.0,21.0,10.12,28.91,12.986047,80.218114,13.076047,80.308114
502,1900-01-01 19:25:00,Sandstorms,Jam,motorcycle,Metropolitian,Chennai,33.0,4.1,1.0,32.0,6.73,12.62,12.986047,80.218114,13.046047,80.278114
503,1900-01-01 21:30:00,Sunny,Jam,scooter,Metropolitian,Chennai,37.0,4.6,1.0,22.0,6.73,18.35,12.986047,80.218114,13.046047,80.278114
504,1900-01-01 14:40:00,Sunny,High,motorcycle,Urban,Chennai,33.0,4.6,1.0,23.0,4.48,11.69,12.975996,80.221898,13.015996,80.261898
505,1900-01-01 12:55:00,Stormy,High,motorcycle,Urban,Chennai,26.0,4.5,1.0,12.0,4.48,22.4,12.975996,80.221898,13.015996,80.261898
507,1900-01-01 22:15:00,Sandstorms,Jam,scooter,Metropolitian,Chennai,31.0,3.5,1.0,40.0,10.12,15.18,12.975996,80.221898,13.065996,80.311898
508,1900-01-01 22:30:00,Stormy,Low,scooter,Urban,Chennai,27.0,5.0,0.0,13.0,6.73,31.06,12.975996,80.221898,13.035996,80.281898
509,1900-01-01 20:55:00,Sunny,Jam,motorcycle,Metropolitian,Chennai,27.0,4.8,1.0,20.0,10.12,30.36,12.975996,80.221898,13.065996,80.311898
510,1900-01-01 19:45:00,Sunny,Jam,electric_scooter,Metropolitian,Coimbatore,28.0,4.9,0.0,12.0,12.25,61.25,11.003008,76.97544,11.113008,77.08544
511,1900-01-01 17:15:00,Windy,Medium,motorcycle,Urban,Coimbatore,36.0,4.6,0.7592242194891201,24.0,7.79,19.47,11.003008,76.97544,11.073009,77.04544
512,1900-01-01 08:40:00,Stormy,Low,motorcycle,Urban,Coimbatore,27.0,4.3,1.0,20.0,1.11,3.33,11.003008,76.97544,11.013008,76.98544
513,1900-01-01 17:00:00,Sandstorms,Medium,scooter,Metropolitian,Coimbatore,24.0,4.6,1.0,26.0,4.45,10.27,11.003008,76.97544,11.043008,77.01544
514,1900-01-01 22:40:00,Cloudy,Low,scooter,Metropolitian,Coimbatore,24.0,4.7,1.0,18.0,5.56,18.53,11.003008,76.97544,11.053009,77.02544
515,1900-01-01 23:50:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,20.0,4.9,0.0,24.0,14.48,36.2,11.003008,76.97544,11.133009,77.10544
516,1900-01-01 22:35:00,Cloudy,Low,scooter,Metropolitian,Coimbatore,20.0,4.8,1.0,27.0,8.9,19.78,11.003008,76.97544,11.083009,77.05544
517,1900-01-01 20:05:00,Stormy,Jam,scooter,Metropolitian,Coimbatore,26.0,4.9,1.0,24.0,14.48,36.2,11.003008,76.97544,11.133009,77.10544
518,1900-01-01 00:00:00,Stormy,Low,electric_scooter,Metropolitian,Coimbatore,34.0,4.8,1.0,27.0,10.01,22.24,11.003008,76.97544,11.093008,77.06544
519,1900-01-01 22:55:00,Windy,Low,scooter,Metropolitian,Coimbatore,39.0,5.0,0.0,28.0,10.01,21.45,11.003008,76.97544,11.093008,77.06544
520,1900-01-01 23:50:00,Sandstorms,Low,motorcycle,Urban,Coimbatore,34.0,4.1,0.0,24.0,3.33,8.32,11.003008,76.97544,11.033008,77.00544
521,1900-01-01 19:20:00,Sunny,Jam,motorcycle,Urban,Coimbatore,22.0,4.9,1.0,24.0,7.78,19.45,11.016298,76.972076,11.086298,77.042076
522,1900-01-01 19:20:00,Fog,Jam,motorcycle,Urban,Coimbatore,20.0,4.1,1.0,42.0,7.78,11.11,11.016298,76.972076,11.086298,77.042076
523,1900-01-01 10:35:00,Cloudy,Low,motorcycle,Metropolitian,Coimbatore,22.0,4.8,0.0,18.0,2.22,7.4,11.016298,76.972076,11.036298,76.992076
524,1900-01-01 00:15:00,Stormy,Low,scooter,Metropolitian,Coimbatore,34.0,4.8,1.0,29.0,5.56,11.5,11.016298,76.972076,11.066298,77.022076
525,1900-01-01 22:20:00,Stormy,Low,scooter,Metropolitian,Coimbatore,30.0,4.7,1.0,27.0,8.9,19.78,11.016298,76.972076,11.096298,77.052076
526,1900-01-01 18:10:00,Stormy,Medium,motorcycle,Metropolitian,Coimbatore,33.0,4.1,0.0,34.0,5.56,9.81,11.016298,76.972076,11.066298,77.022076
527,1900-01-01 00:15:00,Cloudy,Low,motorcycle,Urban,Coimbatore,22.0,4.6,0.0,10.0,3.33,19.98,11.016298,76.972076,11.046298,77.002076
528,1900-01-01 17:40:00,Cloudy,Medium,scooter,Metropolitian,Coimbatore,22.0,4.7,1.0,12.0,3.33,16.65,11.016298,76.972076,11.046298,77.002076
529,1900-01-01 22:35:00,Stormy,Low,scooter,Urban,Coimbatore,30.0,4.8,1.0,17.0,10.01,35.33,11.016298,76.972076,11.106298,77.062076
530,1900-01-01 10:40:00,Stormy,Low,motorcycle,Urban,Coimbatore,25.0,4.6,1.0,15.0,1.11,4.44,11.022477,76.995667,11.032477,77.005667
531,1900-01-01 23:05:00,Stormy,Low,scooter,Urban,Coimbatore,38.0,4.7,1.0,23.0,7.79,20.32,11.022477,76.995667,11.092477,77.065667
532,1900-01-01 20:35:00,Fog,Jam,scooter,Metropolitian,Coimbatore,30.0,4.8,2.0,42.0,7.79,11.13,11.022477,76.995667,11.092477,77.065667
533,1900-01-01 21:55:00,Sunny,Jam,scooter,Metropolitian,Coimbatore,35.0,4.7,0.0,27.0,12.26,27.24,11.022477,76.995667,11.132477,77.105667
534,1900-01-01 18:30:00,Fog,Medium,scooter,Metropolitian,Coimbatore,27.0,5.0,0.0,10.0,3.34,20.04,11.022477,76.995667,11.052477,77.025667
535,1900-01-01 00:00:00,Fog,Low,motorcycle,Urban,Coimbatore,20.0,4.8,1.0,20.0,10.03,30.09,11.022477,76.995667,11.112477,77.085667
536,1900-01-01 19:05:00,Sandstorms,Medium,motorcycle,Urban,Coimbatore,25.0,4.7,0.0,12.0,6.68,33.4,11.022477,76.995667,11.082477,77.055667
537,1900-01-01 17:25:00,Stormy,Medium,motorcycle,Metropolitian,Coimbatore,28.0,4.4,1.0,39.0,10.03,15.43,11.022477,76.995667,11.112477,77.085667
538,1900-01-01 20:25:00,Stormy,Jam,scooter,Urban,Coimbatore,26.0,4.8,0.0,18.0,10.03,33.43,11.022477,76.995667,11.112477,77.085667
539,1900-01-01 22:50:00,Sandstorms,Low,scooter,Metropolitian,Coimbatore,25.0,4.7,0.0,19.0,7.8,24.63,11.025083,77.015393,11.095083,77.085393
540,1900-01-01 20:00:00,Stormy,Jam,motorcycle,Metropolitian,Coimbatore,28.0,4.9,1.0,26.0,12.29,28.36,11.025083,77.015393,11.135083,77.125393
541,1900-01-01 12:25:00,Windy,High,motorcycle,Metropolitian,Coimbatore,29.0,5.0,0.0,24.0,4.45,11.12,11.025083,77.015393,11.065083,77.055393
542,1900-01-01 12:30:00,Cloudy,High,motorcycle,Urban,Coimbatore,24.0,4.9,1.0,25.0,4.45,10.68,11.025083,77.015393,11.065083,77.055393
543,1900-01-01 22:30:00,Sandstorms,Low,scooter,Metropolitian,Coimbatore,37.0,4.9,0.0,25.0,14.53,34.87,11.025083,77.015393,11.155083,77.145393
544,1900-01-01 18:40:00,Sandstorms,Medium,motorcycle,Metropolitian,Coimbatore,24.0,4.6,1.0,26.0,8.92,20.58,11.025083,77.015393,11.105083,77.095393
545,1900-01-01 23:05:00,Sunny,Low,scooter,Metropolitian,Coimbatore,24.0,2.8,1.0,42.0,8.92,12.74,11.025083,77.015393,11.105083,77.095393
546,1900-01-01 22:50:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,33.0,4.9,1.0,18.0,5.57,18.57,11.025083,77.015393,11.075083,77.065393
547,1900-01-01 20:25:00,Sandstorms,Jam,scooter,Metropolitian,Coimbatore,33.0,4.5,1.0,35.0,10.04,17.21,11.025083,77.015393,11.115083,77.105393
548,1900-01-01 18:30:00,Stormy,Medium,motorcycle,Metropolitian,Coimbatore,27.0,4.9,0.7592242194891201,19.0,6.69,21.13,11.025083,77.015393,11.085083,77.075393
549,1900-01-01 20:50:00,Cloudy,Jam,scooter,Metropolitian,Coimbatore,36.0,4.1,1.0,35.0,6.69,11.47,11.025083,77.015393,11.085083,77.075393
550,1900-01-01 12:45:00,Sunny,High,motorcycle,Metropolitian,Coimbatore,25.0,4.2,3.0,43.0,4.45,6.21,11.024839,77.007003,11.064839,77.047003
551,1900-01-01 18:30:00,Stormy,Medium,scooter,Metropolitian,Coimbatore,31.0,3.7,1.0,34.0,12.28,21.67,11.024839,77.007003,11.134839,77.117003
552,1900-01-01 21:10:00,Fog,Jam,motorcycle,Metropolitian,Coimbatore,39.0,4.6,1.0,43.0,7.8,10.88,11.024839,77.007003,11.094839,77.077003
553,1900-01-01 20:50:00,Windy,Jam,motorcycle,Urban,Coimbatore,23.0,4.6,1.0,23.0,8.92,23.27,11.024839,77.007003,11.104839,77.087003
554,1900-01-01 10:15:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,35.0,4.7,0.0,21.0,2.22,6.34,11.024839,77.007003,11.044839,77.027003
556,1900-01-01 19:10:00,Stormy,Medium,scooter,Metropolitian,Coimbatore,28.0,4.5,1.0,26.0,14.52,33.51,11.024839,77.007003,11.154839,77.137003
557,1900-01-01 11:00:00,Windy,Low,scooter,Metropolitian,Coimbatore,22.0,4.9,1.0,13.0,1.11,5.12,11.022169,76.999594,11.032169,77.009594
558,1900-01-01 20:05:00,Sunny,Jam,motorcycle,Urban,Coimbatore,35.0,4.2,1.0,31.0,12.27,23.75,11.022169,76.999594,11.132169,77.109594
559,1900-01-01 17:55:00,Cloudy,Medium,scooter,Metropolitian,Coimbatore,22.0,4.1,1.0,33.0,7.8,14.18,11.022169,76.999594,11.092169,77.069594
560,1900-01-01 20:05:00,Sunny,Jam,motorcycle,Urban,Coimbatore,33.0,4.8,1.0,15.0,5.56,22.24,11.022169,76.999594,11.072169,77.049594
561,1900-01-01 20:30:00,Stormy,Jam,motorcycle,Metropolitian,Coimbatore,36.0,4.3,1.0,31.0,14.51,28.08,11.022169,76.999594,11.152169,77.129594
562,1900-01-01 20:50:00,Windy,Jam,motorcycle,Metropolitian,Coimbatore,33.0,4.0,1.0,51.0,14.51,17.07,11.022169,76.999594,11.152169,77.129594
563,1900-01-01 23:25:00,Stormy,Low,scooter,Metropolitian,Coimbatore,37.0,5.0,1.0,19.0,10.03,31.67,11.022169,76.999594,11.112169,77.089594
564,1900-01-01 21:25:00,Fog,Jam,scooter,Metropolitian,Coimbatore,36.0,4.2,1.0,34.0,6.68,11.79,11.022169,76.999594,11.082169,77.059594
565,1900-01-01 20:00:00,Sunny,Jam,electric_scooter,Metropolitian,Coimbatore,29.0,4.6,1.0,15.0,7.79,31.16,11.021278,76.995017,11.091278,77.065017
566,1900-01-01 00:05:00,Cloudy,Low,motorcycle,Metropolitian,Coimbatore,27.0,4.6,1.0,20.0,12.26,36.78,11.021278,76.995017,11.131278,77.105017
567,1900-01-01 21:05:00,Fog,Jam,motorcycle,Metropolitian,Coimbatore,28.0,4.9,1.0,35.0,14.51,24.87,11.021278,76.995017,11.151278,77.125017
568,1900-01-01 09:00:00,Sunny,Low,motorcycle,Metropolitian,Coimbatore,23.0,4.8,0.0,17.0,2.22,7.84,11.021278,76.995017,11.041278,77.015017
569,1900-01-01 20:35:00,Stormy,Jam,motorcycle,Metropolitian,Coimbatore,37.0,3.8,1.0,32.0,14.51,27.21,11.021278,76.995017,11.151278,77.125017
570,1900-01-01 20:40:00,Cloudy,Jam,motorcycle,Metropolitian,Coimbatore,31.0,4.4,1.0,38.0,3.34,5.27,11.021278,76.995017,11.051278,77.025017
571,1900-01-01 17:35:00,Fog,Medium,scooter,Urban,Coimbatore,23.0,5.0,0.0,34.0,10.03,17.7,11.021278,76.995017,11.111278,77.085017
572,1900-01-01 22:25:00,Sandstorms,Low,scooter,Metropolitian,Coimbatore,27.0,4.6,0.0,11.0,7.78,42.44,10.96185,76.971082,11.03185,77.041082
573,1900-01-01 21:25:00,Fog,Jam,electric_scooter,Metropolitian,Coimbatore,21.0,4.3,1.0,32.0,12.24,22.95,10.96185,76.971082,11.07185,77.081082
575,1900-01-01 20:20:00,Windy,Jam,motorcycle,Urban,Coimbatore,21.0,4.9,0.0,20.0,14.48,43.44,10.96185,76.971082,11.09185,77.101082
576,1900-01-01 22:00:00,Stormy,Jam,motorcycle,Metropolitian,Coimbatore,22.0,5.0,1.0,35.0,14.48,24.82,10.96185,76.971082,11.09185,77.101082
577,1900-01-01 19:00:00,Sunny,Medium,scooter,Metropolitian,Coimbatore,39.0,4.9,0.0,19.0,10.01,31.61,10.96185,76.971082,11.05185,77.061082
578,1900-01-01 20:05:00,Fog,Jam,scooter,Metropolitian,Coimbatore,27.0,4.0,2.0,34.0,3.33,5.88,10.96185,76.971082,10.99185,77.001082
579,1900-01-01 18:45:00,Stormy,Medium,scooter,Urban,Coimbatore,25.0,4.8,1.0,23.0,10.01,26.11,10.96185,76.971082,11.05185,77.061082
580,1900-01-01 20:40:00,Windy,Jam,motorcycle,Urban,Coimbatore,29.0,4.7,1.0,24.0,12.25,30.62,11.001852,76.976268,11.111852,77.086268
581,1900-01-01 09:00:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,32.0,4.7,1.0,26.0,1.11,2.56,11.001852,76.976268,11.011852,76.986268
582,1900-01-01 18:30:00,Sandstorms,Medium,motorcycle,Metropolitian,Coimbatore,24.0,4.7,1.0,29.0,7.79,16.12,11.001852,76.976268,11.071852,77.046268
584,1900-01-01 19:50:00,Sandstorms,Jam,scooter,Metropolitian,Coimbatore,29.0,4.7,0.0,24.0,8.9,22.25,11.001852,76.976268,11.081852,77.056268
585,1900-01-01 17:55:00,Stormy,Medium,scooter,Urban,Coimbatore,34.0,4.0,1.0,32.0,3.33,6.24,11.001852,76.976268,11.031852,77.006268
586,1900-01-01 18:45:00,Sandstorms,Medium,motorcycle,Urban,Coimbatore,34.0,5.0,1.0,22.0,7.79,21.25,11.008638,76.984311,11.078638,77.054311
587,1900-01-01 18:45:00,Sandstorms,Medium,motorcycle,Urban,Coimbatore,34.0,5.0,1.0,22.0,7.79,21.25,11.008638,76.984311,11.078638,77.054311
589,1900-01-01 18:20:00,Windy,Medium,motorcycle,Metropolitian,Coimbatore,23.0,4.7,1.0,27.0,7.79,17.31,11.008638,76.984311,11.078638,77.054311
590,1900-01-01 22:35:00,Sandstorms,Low,scooter,Urban,Coimbatore,28.0,4.9,1.0,15.0,8.9,35.6,11.008638,76.984311,11.088638,77.064311
591,1900-01-01 18:35:00,Stormy,Medium,scooter,Metropolitian,Coimbatore,37.0,4.0,0.0,32.0,3.34,6.26,11.008638,76.984311,11.038638,77.014311
592,1900-01-01 23:25:00,Stormy,Low,motorcycle,Metropolitian,Coimbatore,38.0,4.0,1.0,27.0,6.67,14.82,11.008638,76.984311,11.068638,77.044311
593,1900-01-01 20:10:00,Sunny,Jam,scooter,Metropolitian,Coimbatore,22.0,4.8,1.0,17.0,6.67,23.54,11.008638,76.984311,11.068638,77.044311
594,1900-01-01 22:35:00,Windy,Low,motorcycle,Metropolitian,Coimbatore,22.0,4.3,0.0,27.0,3.34,7.42,11.008638,76.984311,11.038638,77.014311
595,1900-01-01 12:20:00,Fog,High,electric_scooter,Metropolitian,Coimbatore,37.0,4.8,1.0,30.0,4.45,8.9,11.001753,76.986241,11.041753,77.026241
596,1900-01-01 11:10:00,Stormy,Low,motorcycle,Metropolitian,Coimbatore,23.0,4.9,0.0,19.0,1.11,3.51,11.001753,76.986241,11.011753,76.996241
597,1900-01-01 21:45:00,Cloudy,Jam,motorcycle,Metropolitian,Coimbatore,25.0,4.3,1.0,34.0,12.25,21.62,11.001753,76.986241,11.111753,77.096241
598,1900-01-01 17:20:00,Windy,Medium,motorcycle,Metropolitian,Coimbatore,22.0,4.9,0.7592242194891201,20.0,5.56,16.68,11.001753,76.986241,11.051753,77.036241
599,1900-01-01 10:45:00,Stormy,Low,motorcycle,Metropolitian,Coimbatore,20.0,4.1,1.0,16.0,2.22,8.33,11.001753,76.986241,11.021753,77.006241
600,1900-01-01 23:50:00,Sunny,Low,motorcycle,Urban,Coimbatore,31.0,3.4,1.0,31.0,10.02,19.39,11.001753,76.986241,11.091753,77.076241
601,1900-01-01 09:50:00,Sandstorms,Low,scooter,Metropolitian,Coimbatore,21.0,4.6,0.0,16.0,1.11,4.16,11.000762,76.981876,11.010762,76.991876
602,1900-01-01 14:35:00,Sandstorms,High,motorcycle,Metropolitian,Coimbatore,25.0,4.8,1.0,32.0,4.45,8.34,11.000762,76.981876,11.040762,77.021876
603,1900-01-01 19:55:00,Sunny,Jam,motorcycle,Metropolitian,Coimbatore,29.0,4.9,1.0,24.0,12.25,30.62,11.000762,76.981876,11.110762,77.091876
604,1900-01-01 19:35:00,Fog,Jam,scooter,Metropolitian,Coimbatore,34.0,5.0,0.0,40.0,7.79,11.69,11.000762,76.981876,11.070762,77.051876
605,1900-01-01 21:35:00,Windy,Jam,motorcycle,Urban,Coimbatore,39.0,4.5,1.0,26.0,12.25,28.27,11.000762,76.981876,11.110762,77.091876
606,1900-01-01 21:25:00,Fog,Jam,motorcycle,Metropolitian,Coimbatore,24.0,4.5,3.0,49.0,8.9,10.9,11.000762,76.981876,11.080762,77.061876
607,1900-01-01 22:25:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,21.0,4.6,0.0,24.0,5.56,13.9,11.000762,76.981876,11.050762,77.031876
608,1900-01-01 19:05:00,Stormy,Medium,scooter,Metropolitian,Coimbatore,25.0,4.6,0.7592242194891201,25.0,3.33,7.99,11.000762,76.981876,11.030762,77.011876
609,1900-01-01 20:20:00,Sandstorms,Jam,scooter,Metropolitian,Coimbatore,23.0,4.5,0.0,25.0,6.67,16.01,11.000762,76.981876,11.060762,77.041876
610,1900-01-01 15:00:00,Stormy,High,motorcycle,Metropolitian,Coimbatore,39.0,4.7,1.0,27.0,4.45,9.89,11.003669,76.976494,11.043669,77.016494
611,1900-01-01 10:10:00,Fog,Low,electric_scooter,Urban,Coimbatore,29.0,4.7,0.0,11.0,1.11,6.05,11.003669,76.976494,11.013669,76.986494
612,1900-01-01 18:10:00,Sunny,Medium,motorcycle,Metropolitian,Coimbatore,38.0,4.7,1.0,21.0,5.56,15.89,11.003669,76.976494,11.053669,77.026494
613,1900-01-01 08:25:00,Fog,Low,motorcycle,Metropolitian,Coimbatore,30.0,4.7,0.7592242194891201,22.0,2.22,6.05,11.003669,76.976494,11.023669,76.996494
614,1900-01-01 22:10:00,Sandstorms,Jam,scooter,Urban,Coimbatore,21.0,4.8,0.0,28.0,5.56,11.91,11.003669,76.976494,11.053669,77.026494
615,1900-01-01 21:55:00,Fog,Jam,electric_scooter,Urban,Coimbatore,37.0,4.7,1.0,27.0,3.33,7.4,11.003669,76.976494,11.033669,77.006494
616,1900-01-01 20:10:00,Cloudy,Jam,motorcycle,Metropolitian,Coimbatore,35.0,5.0,1.0,33.0,6.67,12.13,11.003669,76.976494,11.063669,77.036494
617,1900-01-01 20:30:00,Sunny,Jam,scooter,Metropolitian,Coimbatore,37.0,3.7,0.0,33.0,12.25,22.27,11.003681,76.975525,11.113681,77.085525
